url,filename,name,price,description,rating,category
https://m.media-amazon.com/images/I/71qP+fMtbDL._AC_UY218_.jpg,14_15.jpg,"(Refurbished) OPPO F11 (Fluorite Purple, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Of","9,490","(Refurbished) OPPO F11 (Fluorite Purple, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Of",3.7 out of 5 stars,moble
https://m.media-amazon.com/images/I/51aZ1y+XuHL._AC_UY218_.jpg,14_16.jpg,"POCO C55 (Power Black, 4GB RAM, 64GB Storage)","9,499","POCO C55 (Power Black, 4GB RAM, 64GB Storage)",4.0 out of 5 stars,moble
https://m.media-amazon.com/images/I/61P0BIY3ksL._AC_UY218_.jpg,14_17.jpg,"(Refurbished) Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL","6,799","(Refurbished) Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 3 Months No Cost EMI on BFL",3.1 out of 5 stars,moble
https://m.media-amazon.com/images/I/611JkLiWW0L._AC_UY218_.jpg,14_18.jpg,"POCO M4 5G (Cool Blue, 4GB RAM 64GB RAM)","9,990","POCO M4 5G (Cool Blue, 4GB RAM 64GB RAM)",3.8 out of 5 stars,moble
https://m.media-amazon.com/images/I/51zo-b-jFRL._AC_UY218_.jpg,14_19.jpg,"(Refurbished) POCO C55 (Cool Blue, 6GB RAM, 128GB Storage) Without Offer",,"(Refurbished) POCO C55 (Cool Blue, 6GB RAM, 128GB Storage) Without Offer",,moble
https://m.media-amazon.com/images/I/5188omQ-DEL._AC_UY218_.jpg,18_3.jpg,"(Refurbished) Redmi 11 Prime (Peppy Purple, 4GB RAM 64GB ROM) | Prime Design | High Performance Helio G9","6,999","(Refurbished) Redmi 11 Prime (Peppy Purple, 4GB RAM 64GB ROM) | Prime Design | High Performance Helio G9",3.3 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/6172dTTPUZS._AC_UY218_.jpg,18_4.jpg,"(Refurbished) POCO M3 (Power Black, 6GB RAM, 64GB Storage)","8,299","(Refurbished) POCO M3 (Power Black, 6GB RAM, 64GB Storage)",3.2 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/71x+m2-yb7L._AC_UY218_.jpg,18_5.jpg,"(Refurbished) Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage","8,998","(Refurbished) Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage",3.5 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/71yvwxs0IGL._AC_UY218_.jpg,18_7.jpg,Redmi A3 Olive Green 4GB RAM 128GB ROM without offer,"7,880",Redmi A3 Olive Green 4GB RAM 128GB ROM without offer,3.6 out of 5 stars,kjjhg
https://m.media-amazon.com/images/I/71fDUNTmX3L._AC_UY218_.jpg,18_8.jpg,"itel Vision2S (Gradation Blue, 6.52'' HD+, 5000mAh Battery, 2GB RAM 32GB ROM, 8MP AI Dual Camera) (P651L)","6,499","itel Vision2S (Gradation Blue, 6.52'' HD+, 5000mAh Battery, 2GB RAM 32GB ROM, 8MP AI Dual Camera) (P651L)",3.7 out of 5 stars,kjjhg
